protA	protB	interaction
Q04477	P35400	NO
Q9JIF3	P11438	YES
P06748	P11438	NO
B1Q2W9	P06748	YES
P31323	P0A2M9	NO
Q96J92	O95747	YES
Q7CEG3	P06628	NO
P35609	O60232	YES
Q9U3P2	Q02563	NO
P35219	Q9BPX1	YES
P10845	B1Q236	NO
P18754	P02281	YES
P53141	Q9QPN3	NO
P46531	Q13526	YES
Q9R194	Q96B97	NO
P31946	P61588	YES
P98078-1	Q13619	NO
Q02750	P04049	YES
Q8K2X3	P22892	NO
Q9ESU6	Q04206	YES
P53350	Q01960	NO
P07510-2	O43597	YES
Q96TL7	Q8N4C7	NO
P13423	P15917	YES
P32639	P60953	NO
Q5SXH7	P62993	YES
Q9BR01	Q9CAJ0	NO
Q9UBL3-3	Q9C005	YES
Q9H2C0	P30822	NO
Q02742	Q9H4A6	YES
O15169	Q9Y297	NO
P02786	Q30201	YES
P49841	Q62696	NO
P07866	P01120	YES
Q9NRR5	Q9Y2I2	NO
Q8N2W9	P04637	YES
P08727	Q8MQ03	NO
P38886	P54727	YES
Q13950	Q96HT8	NO
Q8I4M5-3	Q95ZK7-1	YES
P84243	P29517	NO
P28905	P0AGE0	YES
Q9VK33	O04350	NO
Q59FJ7	Q9BZL6	YES
O75340	O81775	NO
Q775D8	Q775D7	YES
Q8VI36	P43405	NO
P61981	Q6PJG9	YES
P50503	P38886	NO
P49841	P04637	YES
P98170	P07823	NO
P0DMV8	Q9UL15-1	YES
O22476	P56945	NO
P48995-2	Q13563	YES
Q12046	Q12154	NO
P48168	P05129	YES
P06748-1	Q14DJ8	NO
Q99708	P38398	YES
P61077	P05783	NO
P27791	O35303	YES
Q99PZ6	Q14457	NO
P84077	P22892	YES
P08121	Q6XVW5	NO
H7BX60	Q8K2X3	YES
Q8N2W9	P04637	NO
P35922	Q9JHG6	YES
P10276	P28799	NO
O70468	P68033	YES
Q14676	A0A0H3NB84	NO
Q13118	Q96ST3	YES
P38646	Q9NPJ4-1	NO
Q91349	K9ZTJ6	YES
P07437	Q02776	NO
Q9NRR4	P04637	YES
Q96QK1	Q9VYG1	NO
P04075-2	P09972	YES
P98170	P46014	NO
Q15131	Q13526	YES
Q9Y294	P04637	NO
Q8IZU0	P51814-6	YES
O15078	Q9QWY8-2	NO
Q9JKD8	Q03347	YES
Q9H2K2	P11021	NO
P19320	Q9Y5A9	YES
P21980	P78527	NO
O67198	B5XST9	YES
P26039	O43521	NO
P35222	O15169	YES
Q46899	O43609	NO
Q15075	Q96Q42	YES
P84875	P39052	NO
P32485	P38634	YES
Q9ES28-2	P38212	NO
Q13241	P13747	YES
O14213	Q9ES57	NO
Q9Z0X1	P16104	YES
P60953	O59755	NO
P18064	Q8H1F2	YES
O75084	P13942	NO
O43639	O60500	YES
Q9CAJ0	P63165	NO
Q9WYT9	Q9WZV7	YES
Q86WJ1-1	Q9H492-1	NO
Q9BUZ4	Q9HCE7-2	YES
P60010	Q92834-2	NO
Q07021	Q12948	YES
Q99732	P87169	NO
O70552	Q9D8X5	YES
O88890	Q14678-2	NO
Q9H334	O15409	YES
Q9UBL3-3	P46936	NO
Q3U182	P27448	YES
A0A0H2XAR9	P0C0M0	NO
B7UI22	Q9NYJ8	YES
Q9P2R3	Q02410-2	NO
Q13017	P61588	YES
Q13740	Q99549	NO
Q99426	Q9H2C0	YES
Q9UKT9	P08603	NO
P21192	P30822	YES
Q38825	P0A6B9	NO
Q94BT6	Q9SQI2	YES
P17931	P68431	NO
P15116	P18031	YES
P53969	P0CG48	NO
Q13330	P70326	YES
Q94AH6	P0ACD6	NO
P14291	Q08949	YES
Q92786	O14964	NO
P38646	P21912	YES
P28632	Q61097	NO
Q9NPJ4-1	Q9NPI6	YES
Q60676	O43236-6	NO
P0ACF8	P64467	YES
P21192	P29590-2	NO
O75603	Q96LI6	YES
O48814	Q16181	NO
Q9H9Q4-1	Q13426	YES
P43628	P35569	NO
Q99961-1	P34971	YES
P53197	O60462	NO
Q99816	Q99732	YES
P09651-2	Q9JMG6	NO
P15173	P40692	YES
P10845	Q99836	NO
P03004	P66817	YES
P35609	Q01968	NO
Q14289	Q7L0Q8	YES
P04049	Q5FBB7-6	NO
P53350	Q00987	YES
Q9BZS1	P07510-2	NO
P00533	O75674	YES
P21580	P97784	NO
P0A9X4	P0A9A6	YES
Q8CGU4	P97287	NO
Q06551	P41912	YES
P62805	O88447	NO
O95866	P42684	YES
P60953-2	Q9FUD3	NO
O94829	P47813	YES
P48837	P33895	NO
Q96AJ9	Q9UID3-1	YES
P63159	P28067	NO
P06240	P06332	YES
Q9WVE0	Q55980	NO
O89100	Q6PB44	YES
O88597	P02686	NO
Q08231	P46674	YES
Q8QGV2	Q8IYM1	NO
P19320	P26358	YES
Q5UMH8	Q9H0F7	NO
P17735	Q05086-3	YES
P13338	P43897-2	NO
P50503	P0DMV8	YES
Q8NHQ1	P0A8V2	NO
P38886	P48510	YES
Q8WXH0	Q8BGG7	NO
O00560	Q14565	YES
P63104	Q9BX59	NO
Q15645	Q9UBX5	YES
O60563	O75558	NO
Q8TDY2	P04637	YES
Q9ERR1	P40960	NO
P42566	P52594	YES
P11433	Q9WTW1-3	NO
Q5S007	P63104	YES
P12504	Q8VIM0	NO
Q16665	P63165	YES
P61372	P49458	NO
Q13616	P61081	YES
Q39238	P28068	NO
Q15131	Q9QUR7	YES
Q96CW9	P22213	NO
Q9UNP9	Q03164	YES
P41834	Q9HCJ2	NO
P15056	P04627	YES
P02829	O94907	NO
P60010	P17555	YES
Q01721	O54784	NO
P32479	P32447	YES
P26232	Q9NPC6	NO
P40204	Q12330	YES
Q99M15	P24385	NO
Q8LAD0	Q8L940	YES
Q6P2Q9	Q60680	NO
P04480	P19934	YES
Q9M246	Q00987	NO
O13563	P48510	YES
P19320	Q86VP1-2	NO
Q8NBW4-1	Q9Y2Q5	YES
P78423	P23588	NO
O14744	Q01094	YES
P18545	P04637	NO
P78329	O43889-2	YES
P50222	P62993	NO
Q05027	Q03761	YES
Q46899	P04197	NO
Q9UMX0	Q9NRR5	YES
P26769	P9WGH9	NO
Q9HBW1	Q9Y2I2	YES
P20073	Q9GZQ8	NO
P70207	P97333	YES
Q14DJ8	Q04759	NO
O15287	O15360	YES
Q12280	P50570	NO
P18851	P32917	YES
Q96E14-1	O43521-3	NO
Q9HCJ0	P21187	YES
P19320	P61956	NO
P49418	P50570	YES
Q02630	Q5JVL4	NO
P08151	Q9UMX1	YES
P26368	P62993	NO
Q92997	P49674	YES
Q02078-1	Q60795	NO
P42337	P08556	YES
P58753	O43639	NO
P62826	P47813	YES
P35585	P29373	NO
O09118	Q8K1S3-1	YES
P35609	P22892	NO
Q6P1J9	A1L4K1	YES
P40014	Q64163-4	NO
O75771	Q5JST6	YES
Q9UJY4	Q99081-3	NO
P19508	Q9Y4B6	YES
Q08214	O00444	NO
Q9ULK5	Q60838	YES
P54860	Q9GZQ8	NO
Q9X2H8	Q9WZ57	YES
P08709	Q64151	NO
Q15311	P43897-2	YES
P30279	Q10CQ1	NO
Q05140	Q9D1J1	YES
P11802	Q6EU39	NO
Q9Y2I1	P51146	YES
Q9JJF9	P43320	NO
P11362	P19174	YES
Q5SW96	P10275	NO
Q16637	O14893	YES
Q86V81	Q03135	NO
Q86WJ1-1	Q9UGN5	YES
P38919	Q9FE22	NO
P06241	Q96PD2	YES
Q8WYL5	O75340	NO
Q12527	P35193	YES
Q8WUM4	P51151	NO
Q3T1J5	Q14118	YES
P9WGZ1	Q6P2E9	NO
Q61152	P97814	YES
P29590-5	P63165	NO
Q09472	P05549	YES
P23528	Q60393	NO
Q06697	P27692	YES
P62805	Q2RIF5	NO
P74746	P74593	YES
Q9Y371	P43601	NO
Q6ZQE4	P62827	YES
O14744	Q8NBW4-1	NO
O55106	Q9H2K2	YES
O60341-1	Q14213	NO
A0A0H3NB84	A0A0H3NKV4	YES
Q8NEV9	O14646	NO
Q14676	P16104	YES
Q14847	P0CG48	NO
O88448	P68619	YES
Q9NZI2	O95760	NO
Q9HAT8	P51617	YES
P48007	Q07812	NO
P15056	P04049	YES
Q13017	B7UI22	NO
P45973	Q5FBB7-6	YES
A2AIX1	Q06628	NO
Q9UQB9	Q9NQS7	YES
Q9UH99	P32598	NO
P08487	P15498	YES
P05026	Q9NR31	NO
P37231-1	O43707-1	YES
P10961	O60216	NO
Q09065	Q09066	YES
Q9UK17	P0C0S8	NO
Q9NY61	Q13315	YES
P63165	Q9UN37	NO
O15350-1	P46938	YES
P60953-2	Q5S007	NO
O88846	P61956	YES
P13746	V6BMM3	NO
Q9BY43	Q8WUM4	YES
P03230	P32418	NO
Q9BX59	Q6DPU2	YES
Q14790	P07948	NO
P63104	Q8NFH8-2	YES
Q5AH02	P40939	NO
P54274	Q9H2K2	YES
Q01405	P02647	NO
Q8BHJ5	P51608	YES
Q14155	O22265	NO
P18824	P91943	YES
Q9P289-1	Q9UNK0	NO
P37542	P39216	YES
P18045	Q96PU5-5	NO
Q8N5C8-1	B7UI22	YES
P19659	P31946	NO
A1Z7K9	Q95RR8	YES
P0ADV1	P16284	NO
Q15554	Q9NYB0	YES
Q7RTN6-1	Q62799	NO
O81439	O04719	YES
Q8NBW4	Q79V61	NO
Q9QZ88	Q4G0F5	YES
Q9UHA4	Q79V60	NO
Q9NPI6	Q8IU60	YES
Q15672	P55957	NO
Q16186	Q9UMX0	YES
P19320	Q7L576	NO
Q9BZS1	P86478	YES
P33176	Q8IWJ2	NO
Q8NA61-2	P40692	YES
P58772	Q8TAF3-1	NO
Q93034	Q63187	YES
Q9BQB4	Q5T1M5	NO
P61983	Q5S007	YES
Q62925	Q9UQ80	NO
Q9XSM3	P09382	YES
O75144	O43889-2	NO
Q9NZZ3-1	Q5VW32	YES
P27958	Q13573	NO
O95278	Q9UQK1	YES
P42411	Q9BPZ3	NO
Q8BGT1	Q80TS3	YES
Q46899	Q9C9E3	NO
P38881	P39968	YES
P47027	P43897-2	NO
P23396	Q00987	YES
P27692	P74593	NO
Q9GZT8	Q14565	YES
P19320	P10415	NO
Q9W2S2	Q9VFC8-2	YES
Q9UWW1	Q86WJ1-1	NO
P07315	P02511	YES
P07274	O55057	NO
Q8NG31-2	O43683	YES
O43688	Q8TF05	NO
O75175	Q9HCJ0	YES
Q72497	P54727	NO
P17693	Q8N423	YES
Q5SHR6	O88890	NO
Q63844	Q60793	YES
P18031	Q9SQI2	NO
Q9UBL3-3	Q03164	YES
P0A892	Q10337	NO
P19320	Q9UKM9	YES
Q9H0E2	P55036	NO
Q01721	Q62226	YES
P42773	Q15156	NO
O54784	Q06507	YES
O60437	P40344	NO
Q6ZW61	Q9NPJ1	YES
Q04477	P63000	NO
P39007	P41543	YES
P39523	P13681	NO
Q24564	P37276	YES
Q6V1L5	P63104	NO
O70293-1	Q28619	YES
P07228	P23528	NO
P47811	P35236	YES
P40515	Q15796	NO
P19334	Q24008	YES
Q9SUT5	P35609	NO
Q13617	P78395	YES
Q92569	P48349	NO
Q8N4S9	P00747	YES
P15056	Q8NEM0	NO
P33322	P40486	YES
P19320	Q9DB43	NO
P02794	P02792	YES
P63208-1	Q15466	NO
P54860	P25694	YES
O43521-3	Q9D1J1	NO
Q9GZQ8	Q8WVZ9	YES
P10727	O00180	NO
P18433	P12931	YES
Q7K159	Q13351	NO
Q9Y4Z2	Q99081-3	YES
P19320	Q60393	NO
P03244	P04637	YES
O60333-3	Q55559	NO
P19524	P25591	YES
Q9Z2F7	P03372	NO
P31946	P61587	YES
Q5SXH7	P56565	NO
P19659	P12383	YES
O75340	Q96CV9	NO
O95166	Q8TC07	YES
P01112	P29590-1	NO
Q3U182	P31946	YES
P58400-1	P18433	NO
P0C0V0	P00698	YES
P22681	Q9Y4K3	NO
Q9H0F6	Q9Y6K9	YES
P06241	Q3YBA8	NO
P18031	P00533	YES
Q9UBU9	Q8IUQ4	NO
A6NFY7	Q9H1K1	YES
D0ZLQ7	Q62696	NO
Q01454	P13382	YES
Q9NWF9-3	O08573-2	NO
P04618	O14980	YES
A1ZAB3	Q7Z3S9	NO
P35222	Q9NQB0	YES
P07510-2	Q7KN62	NO
P78423	P05556	YES
Q07812	Q6IAW1	NO
P18465	P43629	YES
O94888	O43395	NO
E1C4Y2	F1NPG5	YES
P01112	P9WGY7	NO
O75771	Q8TBB1	YES
P16284	Q8IYS0	NO
P05106	P26039	YES
P42566	P04499	NO
Q91YW3	P11021	YES
Q9FIP9	P04637	NO
Q2PZL6	Q9H2K2	YES
P33301	O43295	NO
P63104	P49841	YES
P20340-1	Q9H4M9	NO
Q01344-2	P05113	YES
P49770	Q07930	NO
P27958	P07948	YES
P01024	Q5JVL4	NO
P42337	P32883	YES
P25491	P26715	NO
Q96B67	O14964	YES
P48432	P52333	NO
Q9NPI6	O95429	YES
O95644	Q80Z64	NO
P00533	P07948-1	YES
Q99952	P60201-2	NO
P38915	P13393	YES
Q9GZQ8	P10809	NO
Q9QXG9	P70371	YES
P20936	Q16611	NO
Q10567	P84077	YES
P53197	P06102	NO
P52789	P05480	YES
Q9DBB1	Q43125	NO
Q5ZXA3	Q3KK32	YES
Q06696	Q13426	NO
B7UMB6	B7UMB5	YES
O75832	P22681	NO
P39940	Q02805	YES
P32354	O00899	NO
Q5AH02	Q5AL52	YES
Q30201-1	Q14678-2	NO
P09874	Q96EP1-1	YES
Q9Z2X8	P63165	NO
Q9BYE9	Q9Y6N9-1	YES
Q8W2F3	P35609	NO
O43586	Q99952	YES
Q6P1J9	O75771	NO
Q67FY2	Q9NZC7	YES
O75603	Q9Y6Q9	NO
Q7KZF4	Q86UE4	YES
O43791	Q93062	NO
Q9Y6K9	O14920	YES
P50914	P03431	NO
Q01740	O43889-2	YES
P40014	Q8RWC9	NO
Q9NRW1	Q02410-2	YES
P40460	Q8LAS7	NO
P05129	Q9QZC1	YES
Q8IUC6	Q8TAF3-1	NO
P06772	Q9ZA65	YES
Q9UHD9	Q5FBB7	NO
Q6P1J9	Q8NHQ1	YES
P38646	Q9GZQ8	NO
P84243	Q8R5C8	YES
P35609	Q61006	NO
Q15596	P03372	YES
Q15797	P05106	NO
Q7L7L0	Q86WJ1-1	YES
Q9NWS0	O43294	NO
O43541	Q15797	YES
Q9BXL7	P37542	NO
Q9S7M2	Q83YM6	YES
Q14677	P0C0V0	NO
Q02629	Q02630	YES
P07866	Q8N2W9	NO
Q9SFC6	Q38937	YES
P16144	O15294	NO
P74596	P72742	YES
Q05397	P51610	NO
Q14676	O96028-1	YES
Q8WTS6	P38915	NO
Q8WUM4	P03347	YES
Q60803	Q9BZW8	NO
P36873	Q13362	YES
Q9UH99	P43403	NO
Q10225	Q09760	YES
P32242	P35609	NO
Q96AX1	Q9H269	YES
P62260	Q9BV36	NO
P11345	O96013-1	YES
P05106	O75771	NO
P63086	Q63155	YES
Q63787	A5JGM8	NO
Q8BTI9	Q61411	YES
Q9LD83	P00395	NO
P36406	Q8N5M1	YES
P06756	Q642G4	NO
O35718	Q15370-1	YES
Q8NI60	Q12330	NO
O00308	Q8NCT1	YES
O60346-2	O74718	NO
P24941	P46527	YES
Q6ZWX6	P05771-1	NO
Q6NT76	P70371	YES
Q96B96	P54999	NO
Q8R4K2	Q8K4B2	YES
Q9Y2A7	Q96QC0	NO
P19320	O00541	YES
O43889-2	O14920	NO
Q8N9N5-2	P22557-2	YES
P34730	P0ADV1	NO
Q96J02-2	Q15303	YES
Q96ST3	Q03392	NO
Q562F6	P62136	YES
P70662	Q4A1L4	NO
Q12888-1	P04637	YES
P50481	Q8UZC1	NO
P39875	P38920	YES
O43521-3	C5AW20	NO
P18084	P79114	YES
O43752	Q8N5M1	NO
Q96QK1	O75436	YES
P0CG47	P07900	NO
Q16665	Q96KS0	YES
P31749	Q95107	NO
Q3TKT4	Q6P9Z1	YES
P10114	Q8TDQ0	NO
P38212	P53907	YES
F8VQB6	P53999	NO
Q9ES28-2	Q9WV48	YES
Q9CPX6	Q04207	NO
P42768	P60953	YES
P23528	P68431	NO
Q5NBX1	Q9Z0W5	YES
A0JNT9	Q8SY33	NO
P19320	Q9Y230	YES
Q14444	P46096	NO
Q14160	Q9UDY2	YES
O15318	Q9Z1E1	NO
O95278	Q6VVB1	YES
Q9C005	P00533	NO
Q9QYK7	Q86VP1-2	YES
P45481	P13760	NO
Q9BQF6	Q13263	YES
Q9NZZ3-1	O95278	NO
A7TJH8	P16892	YES
P06213	Q29960	NO
Q00081	P23509	YES
Q15291	P97313	NO
Q67684	Q94AH9	YES
Q15633	P17535	NO
P31749	P20248	YES
Q7L523	P63165	NO
Q95107	Q60598	YES
P53350	P47025	NO
Q9BZK7	P51608	YES
Q8WUM4	Q99942	NO
P23771	P03372	YES
Q04206	Q9HC29	NO
Q9BPZ3	P11940	YES
P37276	Q28619	NO
P42411	P42410	YES
Q03135	Q08484	NO
P19508	Q9Y4B6-3	YES
O43683	Q9HCJ0	NO
A1YH68	P46116	YES
Q53EZ4	Q56061	NO
Q29960	P43632	YES
Q83YM6	O15151	NO
Q8WUM4	Q9CPX6	YES
O60500	Q8H1F2	NO
P32598	P36104	YES
P01903	Q8LJT8	NO
Q5EWX9	Q7ZX96	YES
Q9H1C4	Q9H7E2	NO
Q15843	P78395	YES
P62753	P07900	NO
Q96B01-2	Q14565	YES
P00519	P28288	NO
P51617	Q13526	YES
Q9H4A6	Q30201	NO
P30711	P35609	YES
P97287	Q13043	NO
Q99684	Q9QXD8	YES
Q9BZS1	Q8IYA8	NO
Q9HBX9	P32121	YES
P46097	Q6P589	NO
Q9P0K1-1	P63104	YES
O43759-2	P54253	NO
Q08378	Q9H3P7	YES
Q02078-1	P08877	NO
P35226	P60484	YES
Q14676	P10686	NO
P56546	Q14526	YES
O60934	P11362	NO
P54274-2	Q13315	YES
Q92621	P14242	NO
P05813	P53674	YES
Q16665	P27797	NO
O95863	Q04206	YES
Q06551	P0A9X4	NO
Q06205	P61830	YES
O95166	Q3U182	NO
Q8VI36	O35346	YES
Q9Z2D6	Q89246	NO
Q8L940	O80448	YES
Q6A162	O35615	NO
P03027	Q9ZA65	YES
Q96CB9-1	O43889-2	NO
P62993	O75674	YES
P82251	Q7Z6M4	NO
Q16539	Q15256	YES
Q9P253	Q21738	NO
P53135	P22216	YES
P50222	P78423	NO
Q15382	P42345	YES
Q5SUQ9	Q9Y572	NO
Q7KZF4	P19320	YES
Q15075	P32485	NO
Q9S752	O81775	YES
Q96Q42	P38634	NO
Q60631-1	Q8BGW0-1	YES
O60885-1	Q03135	NO
O95999	O14920	YES
Q75WV4	P21651	NO
P20340	Q01968	YES
Q07817-1	Q62226	NO
P25054	Q8N944	YES
O14939	P29101	NO
P50105	Q03761	YES
O32163	Q3UVX5	NO
P60953-2	Q14155	YES
O32164	Q13526	NO
P37107	O22265	YES
Q9H0D6	Q56844	NO
O18407	P07713	YES
Q9Z2X8	P61326	NO
Q39083	Q39016	YES
Q9DCD5	P39731	NO
Q8ND90	Q7Z2E3-7	YES
Q9Y6Q9	P62877	NO
Q13546	U5TQE9	YES
P40343	P34208	NO
P46937	Q13625-2	YES
P15303	Q8SA64	NO
Q14457	P53355	YES
Q9NYJ8	P61588	NO
Q14511	P53350	YES
P0C1Z6	O75886	NO
P40515	P47025	YES
Q9FNE9	P25054	NO
P19320	Q13492	YES
O14727	Q7Z5K2	NO
Q6NZY4	P38398	YES
P61982	Q9UID3-1	NO
O95402	O60563	YES
Q15008	O43561	NO
P53673	O75558	YES
Q8NF91-1	P25440	NO
P53350	P30307	YES
P07384	P71002	NO
Q99750	P07510-2	YES
P62993	P60510	NO
P19320	Q9H0A0	YES
Q63622	Q8XAP0	NO
Q8IVP5	O70405	YES
P27636	P03243-1	NO
P03433	P03431	YES
P12004	P60881	NO
P19320	P50914	YES
Q9UM54	P0CE47	NO
Q9M0K4	Q9FE22	YES
Q07817-1	Q62910-1	NO
A6HIS0	P15382	YES
P09087	P36006	NO
Q9GZX7	P31689	YES
Q96KN7-1	P29295	NO
Q06628	Q06410	YES
P35226	P53350	NO
Q562F6	Q53HL2	YES
P70399-1	Q8IXK0-5	NO
P31946	Q14678-2	YES
Q57W55	P81122	NO
Q16611	Q14457	YES
Q01968	Q13496	NO
Q5JR59	Q99959	YES
Q9SII8	Q8TB24	NO
Q06628	P39968	YES
Q9BVG8	P19492	NO
Q9QZ88	A8K0Z3	YES
Q8IWU2	Q9UMX0	NO
Q15156	Q9UIS9	YES
Q9UQB9	P08487	NO
P42773	P11802	YES
Q12018	Q8WXW3	NO
Q5ZXA3	Q5ZXA4	YES
O15085	Q62318-1	NO
Q9I317	P95435	YES
Q5AH02	P09874	NO
Q9VBP3	Q9V637	YES
Q9UMN6	Q13625-2	NO
P61981	Q14678-2	YES
O35303	P38398	NO
Q96PU5-5	P84022	YES
Q9FGM1	P55036	NO
P18045	Q16531	YES
Q13362	O88522	NO
P35222	Q03431	YES
P49024	P19838	NO
Q04864-2	Q5JVL4	YES
Q04864	O60716-29	NO
P0A2U4	P18011	YES
Q8YT39	P03372-1	NO
P07900	Q9UHD1	YES
P08581	Q9Y530	NO
P07355	P19320	YES
Q01968	Q15370-1	NO
Q62839	Q9DB43	YES
P19214	Q9UJM3	NO
Q9WU42	P51608	YES
P15056	P28905	NO
Q2HZL0	Q13177	YES
P10451-1	P11049	NO
Q71LX4	P05556	YES
Q13363-2	Q99952	NO
O54967	P16333-1	YES
P02786	P19320	NO
Q8N8S7	Q14517	YES
O35987	Q9BRP8	NO
Q6AWX6	Q9XGU0	YES
Q02543	P02787	NO
Q96IZ0	Q8R5B6	YES
P47160	Q9JIF3	NO
Q84L32	P55036	YES
O61464	Q62083	NO
P55265-1	Q15633	YES
Q9VA38	P22681	NO
P53779	P17535	YES
Q60769	Q13882	NO
O75771	P19012	YES
P25206	P53350	NO
Q96HE7	P07237	YES
Q46896	A0JNT9	NO
Q6UX46	Q9UM73	YES
P47813	P42684	NO
Q47506	Q47505	YES
Q9ZNV8	Q8BJS4	NO
Q8NBW4	Q9HB90	YES
Q1PLI0	Q92540	NO
P16333	P20936	YES
Q15291	Q8W4J8	NO
P38919	P61326	YES
G5EFM0	P38768	NO
O15234	Q9Y5S9-1	YES
Q8IWL3	Q14596	NO
P50750	O95402	YES
P78423	O15123-1	NO
P27695	Q96EB6	YES
Q9WMX2	P63165	NO
P02538	Q9UBB9	YES
P41220-1	P00579	NO
P23396	O14920	YES
P40855	O00308	NO
Q9BYP7-2	Q9Z1W9	YES
Q5TD97	P19814	NO
Q14135	Q15561	YES
Q9BZL6	P0AGE0	NO
Q9UMX0	P55036	YES
Q96J02	P46934	NO
Q9H492	Q9H0E2	YES
O94762-1	Q02248	NO
Q9CR95	O08838	YES
Q9RPY1	Q59HN8	NO
Q9Y6Q6	O14788	YES
O95402	Q8IZQ1	NO
Q12518	P33338	YES
Q55168	P40957	NO
Q9HC29	P14373	YES
Q2MKA7	P35579	NO
P32797	P00546	YES
Q54N00	O95073-2	NO
Q9M384	Q9LKZ3	YES
Q9R064	P34027	NO
P12931	P06401-1	YES
P43632	Q9CPX6	NO
Q9EPB4	Q3UP24	YES
O15455	Q5FBB7	NO
Q06159	P38182	YES
P50281	P31742	NO
Q4LDX8	O60762	YES
P31689	Q06410	NO
P12956	Q8IW19	YES
P10321	Q9BKS1	NO
B7UM94	O52124	YES
P39688	P06753	NO
P38915	P07273	YES
P36630	Q9UJU2	NO
Q8WTS6	Q04207	YES
Q9S7M2	P20930	NO
P07371	O22265	YES
Q92325	Q9UKB1	NO
P12931	Q8NFZ0	YES
Q8IY67-1	O00206	NO
P34901	P17252	YES
Q03555	P11362	NO
P27986	P30874	YES
Q61221-1	Q9LDU5	NO
P32790	P13134	YES
Q9FIP9	P53762	NO
Q86YC2	P51587	YES
Q9V3J8	O14980	NO
Q99497	Q13158	YES
P69423	P18824	NO
O75379	P22892	YES
Q96LW7	P0A6H5	NO
P11433	P18851	YES
Q9C004	Q06609-1	NO
Q9WTW1-3	P19491	YES
P22681	P51587	NO
P36956-1	Q96RN5	YES
Q05397	O43889-2	NO
O75663	P63331	YES
P04591	P02538	NO
Q16236	Q9Z2X8	YES
P78352	Q9V637	NO
Q8WQG9	P05412	YES
Q7G7J6	P43629	NO
Q61062	Q9ULK5	YES
P68135	Q495A1	NO
P0A734	P0AEZ3	YES
Q15637	Q8N1K5-1	NO
Q9JIQ3	Q60989	YES
Q9NZD8	Q96AQ6-1	NO
P16333	Q6PJG9	YES
P68036	P40855	NO
P46937	Q92841	YES
Q9Y4X5	P56589	NO
Q46899	Q46901	YES
P38886	O94986-3	NO
Q02078-1	P63165	YES
P48168	Q13616	NO
Q60795	Q9Z2X8	YES
Q8L5U0	A6NFY7	NO
O75381	P40855	YES
P49959	Q99AU3	NO
Q01844	Q8N5M1	YES
Q92569	P11275	NO
P23497-2	P35609	YES
Q99986	P40014	NO
Q9H0U4	Q01968	YES
Q8WUM4	P61956	NO
Q02410-1	P20340	YES
P40568	P05412	NO
P53350	Q60838	YES
Q9H0F7-1	A7BFV9	NO
P19525	P06493	YES
P55034	Q9YAV0	NO
P17181-1	P29597	YES
P84233	Q9BV36	NO
P97287	P55957	YES
Q8IYR0	Q9QMH9	NO
Q8CGU4	Q9Z214-1	YES
P35609	P29340	NO
P09619	P35918	YES
Q53GG5-2	P39718	NO
P0A988	P69931	YES
Q00987	Q9Y294	NO
Q9CAJ0	O49686	YES
P63010	P63165	NO
Q9BR01	Q13526	YES
Q8K4J6	P29295	NO
Q96PU5	Q8NCT1	YES
Q90Z51	P22681	NO
P46937	O14669	YES
Q99708	O43597	NO
P62491	Q9UBF8-2	YES
P28482	Q9Y6D5	NO
P98155	Q60841	YES
P39688	Q53W63	NO
P07270	P52918	YES
O81472	Q92843	NO
Q96NW4	Q8QZZ8	YES
P39108	P61966	NO
Q02763	O15123-1	YES
Q9UI14	O48814	NO
P13612	P78423	YES
Q8VBX6	Q8IXQ5	NO
Q8S8E3	Q9CAJ0	YES
P03243-1	Q6PEW1	NO
O75771	Q6P2R3	YES
Q01094	Q9Y2Q5	NO
Q14974	P04620	YES
P49736	O14686	NO
P11717	Q01968	YES
O95863	Q06205	NO
P14859-1	P04499	YES
P05783	P35609	NO
P98078-1	P42566	YES
Q04206	P38398	NO
Q9Z0R4	A6X8Z5	YES
P11686	Q5I0H3	NO
P0C0S8	P55201	YES
Q6PAL8	O14980	NO
P19320	O43175	YES
P61956	P25144	NO
Q9BT43	Q9BUI4	YES
Q99325	Q14019	NO
Q96CV9-2	Q99732	YES
P43583	P28067	NO
P35585	Q10589	YES
P19524	P03244	NO
P11362	P46934	YES
P16070	P04637	NO
P78972	O14417	YES
O60333-3	Q9UBQ0	NO
P0ADV1	P0ADV9	YES
Q9H6T3	Q9HAU4	NO
P16284	O14796	YES
O95402	P01101	NO
O15350-1	Q96J02	YES
Q9Y297	O35305	NO
O43521-3	P97287	YES
Q07666	O14920	NO
Q06159	Q12527	YES
P19320	Q9UM54	NO
P91682	O16844	YES
Q9UQB8	Q9LZP8	NO
Q9Y6D9	Q15013	YES
Q9UBL3-3	Q5SXH7	NO
P45481	Q9WTL8-4	YES
P19320	Q02629	NO
Q92569	O60636	YES
O75771	P52292	NO
Q9ULZ3	Q96P20	YES
P59215	O14965	NO
Q92530	Q9Y3I1	YES
Q9QZC1	Q02410-2	NO
P12254	P26937	YES
P35869	Q9NWS0	NO
O73557	P06730	YES
P15559	O76083-2	NO
Q8TE30	P12004	YES
P11938	O00327	NO
O43918	P68431	YES
P29539	Q9R194	NO
Q13393	P23528	YES
Q9UGN5	Q96PD2	NO
P06213	Q9Z200	YES
P52286	Q9UQV4	NO
O88900	P11362	YES
Q9UBL3-3	P26651	NO
Q02563	P10845	YES
Q92569	Q9Y281	NO
Q9U3P2	B1Q236	YES
